Viper_body

Right Surface Points
        x()          y()          z()
  Cross Section   1
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000
       -0.255          0.000          0.000

  Cross Section   2
       -0.255          0.000          0.006
       -0.255          0.001          0.006
       -0.255          0.002          0.006
       -0.255          0.003          0.006
       -0.255          0.003          0.006
       -0.255          0.004          0.006
       -0.255          0.004          0.005
       -0.255          0.005          0.005
       -0.255          0.005          0.005
       -0.255          0.006          0.004
       -0.255          0.006          0.004
       -0.255          0.006          0.003
       -0.255          0.006          0.003
       -0.255          0.006          0.003
       -0.255          0.006          0.002
       -0.255          0.006          0.002
       -0.255          0.006          0.001
       -0.255          0.006          0.000
       -0.255          0.006         -0.000
       -0.255          0.006         -0.001
       -0.255          0.006         -0.001
       -0.255          0.006         -0.002
       -0.255          0.006         -0.002
       -0.255          0.006         -0.003
       -0.255          0.006         -0.003
       -0.255          0.006         -0.004
       -0.255          0.006         -0.004
       -0.255          0.006         -0.005
       -0.255          0.005         -0.005
       -0.255          0.005         -0.005
       -0.255          0.004         -0.006
       -0.255          0.004         -0.006
       -0.255          0.003         -0.006
       -0.255          0.003         -0.007
       -0.255          0.002         -0.007
       -0.255          0.001         -0.007
       -0.255          0.000         -0.007

  Cross Section   3
       -0.254          0.000          0.012
       -0.254          0.002          0.012
       -0.254          0.004          0.012
       -0.254          0.005          0.012
       -0.254          0.006          0.012
       -0.254          0.008          0.011
       -0.254          0.009          0.011
       -0.254          0.009          0.010
       -0.254          0.010          0.009
       -0.254          0.011          0.008
       -0.254          0.011          0.008
       -0.254          0.011          0.007
       -0.254          0.012          0.006
       -0.254          0.012          0.005
       -0.254          0.012          0.004
       -0.254          0.012          0.003
       -0.254          0.012          0.002
       -0.254          0.012          0.001
       -0.254          0.012         -0.000
       -0.254          0.012         -0.002
       -0.254          0.012         -0.003
       -0.254          0.012         -0.004
       -0.254          0.012         -0.005
       -0.254          0.012         -0.006
       -0.254          0.012         -0.007
       -0.254          0.011         -0.008
       -0.254          0.011         -0.009
       -0.254          0.011         -0.010
       -0.254          0.010         -0.011
       -0.254          0.009         -0.011
       -0.254          0.009         -0.012
       -0.254          0.008         -0.013
       -0.254          0.006         -0.013
       -0.254          0.005         -0.013
       -0.254          0.004         -0.014
       -0.254          0.002         -0.014
       -0.254          0.000         -0.014

  Cross Section   4
       -0.252          0.000          0.018
       -0.252          0.003          0.018
       -0.252          0.005          0.018
       -0.252          0.007          0.017
       -0.252          0.009          0.017
       -0.252          0.011          0.016
       -0.252          0.012          0.015
